type,side,price,size,ts_ns
update,b,57630.68,0.00000000,1784618834634601800
update,b,65847.30,0.00000000,1784618834634601800
update,b,65849.23,0.16524078,1784618834634601800
update,b,65860.50,1.00000000,1784618834634601800
update,b,65858.69,0.00759201,1784618834634706700
update,b,65855.93,0.00000000,1784618834634706700
update,b,65855.94,0.19350468,1784618834634706700
update,a,65870.91,0.00759060,1784618834634706700
update,a,65869.92,0.00009488,1784618834634706700
update,b,64853.10,0.00000000,1784618834634840000
update,b,65858.69,0.01518402,1784618834642159900
update,b,65847.30,0.00000000,1784618834642159900
update,b,65849.23,0.16524078,1784618834642159900
update,a,65870.96,0.00797013,1784618834642159900
update,a,65880.00,0.02070000,1784618834642159900
update,b,65863.63,0.00961705,1784618834698306400
update,b,57630.68,0.01246252,1784618834698306400
update,a,65877.00,1.00000000,1784618834698306400
update,a,65876.94,0.76637553,1784618834698306400
update,b,57630.68,0.00000000,1784618834808233000
update,b,63832.86,0.00000000,1784618834870800900
update,b,65860.51,0.02118317,1784618834870800900
update,b,65847.27,0.00000000,1784618834870800900
update,b,65859.04,0.19280920,1784618834870800900
update,b,65860.50,0.00000000,1784618834870800900
update,b,65849.23,0.16524078,1784618834870800900
update,b,65859.00,1.00000000,1784618834870800900
update,b,65855.94,0.00069548,1784618834870800900
update,b,65859.03,0.95816927,1784618834870800900
update,b,65863.63,0.00961693,1784618834928242000
update,a,65876.94,0.19420414,1784618834928242000
update,a,65878.50,1.00000000,1784618834928242000
update,a,65877.00,0.00000000,1784618834928242000
update,b,57630.68,0.01246252,1784618834990483900
update,b,65859.00,0.00000000,1784618834990483900
update,b,65859.03,0.26680634,1784618834990483900
update,b,65859.04,0.00000000,1784618834990483900
update,b,65855.93,0.19280920,1784618834990483900
update,a,65876.94,0.76637553,1784618834990483900
update,b,65860.51,0.61547495,1784618835050149900
update,b,65857.04,0.01518440,1784618835050149900
update,b,65860.50,1.00000000,1784618835050149900
update,b,65855.93,0.00000000,1784618835050149900
