snap,ts_ns,side,rank,price,size
16,1784621747466621200,a,10,66225.07,0.001541
16,1784621747466621200,a,11,66226,0.0091
17,1784621748751465600,b,0,66215.03,0.01510232
17,1784621748751465600,b,1,66215,0.01
17,1784621748751465600,b,2,66214.15,0.00750622
17,1784621748751465600,b,3,66213.38,0.01510268
17,1784621748751465600,b,4,66211,0.05
17,1784621748751465600,b,5,66210.49,0.001584
17,1784621748751465600,b,6,66210.48,5.064e-05
17,1784621748751465600,b,7,66210,0.01
17,1784621748751465600,b,8,66208.66,1.7e-05
17,1784621748751465600,b,9,66208,0.00153174
17,1784621748751465600,b,10,66207.65,0.00010127
17,1784621748751465600,b,11,66206.47,0.00754552
17,1784621748751465600,a,0,66216.73,0.09070899
17,1784621748751465600,a,1,66218,0.0091
17,1784621748751465600,a,2,66219.01,0.0227032
17,1784621748751465600,a,3,66219.99,0.26217785
17,1784621748751465600,a,4,66220,0.15337671
17,1784621748751465600,a,5,66220.01,0.13912385
17,1784621748751465600,a,6,66221.65,0.00528549
17,1784621748751465600,a,7,66222.26,0.09070899
17,1784621748751465600,a,8,66222.72,0.03769888
17,1784621748751465600,a,9,66223.32,0.00120811
17,1784621748751465600,a,10,66223.33,0.00158
17,1784621748751465600,a,11,66223.88,0.00660686
18,1784621748926290300,b,0,66209.89,0.09566385
18,1784621748926290300,b,1,66209.02,0.04
18,1784621748926290300,b,2,66209.01,0.04
18,1784621748926290300,b,3,66208.66,1.7e-05
18,1784621748926290300,b,4,66206,0.0091
18,1784621748926290300,b,5,66205,0.01
18,1784621748926290300,b,6,66204.95,1.7e-05
18,1784621748926290300,b,7,66204.8,0.00153174
18,1784621748926290300,b,8,66204.01,0.05958597
18,1784621748926290300,b,9,66204,0.0091
18,1784621748926290300,b,10,66203.7,0.09070899
18,1784621748926290300,b,11,66203.11,0.04540639
18,1784621748926290300,a,0,66209.9,0.01510418
18,1784621748926290300,a,1,66210,0.0091
18,1784621748926290300,a,2,66211,0.00528622
18,1784621748926290300,a,3,66211.21,0.12082546
18,1784621748926290300,a,4,66211.99,0.01898651
18,1784621748926290300,a,5,66212,0.0091
18,1784621748926290300,a,6,66212.38,0.0227032
18,1784621748926290300,a,7,66212.67,0.00528613
18,1784621748926290300,a,8,66213.33,0.09146967
18,1784621748926290300,a,9,66213.34,0.09070899
18,1784621748926290300,a,10,66213.39,0.03769888
18,1784621748926290300,a,11,66214,0.0091
19,1784621750795843100,b,0,66209.89,0.05381369
19,1784621750795843100,b,1,66208.66,1.7e-05
19,1784621750795843100,b,2,66206.47,0.001591
19,1784621750795843100,b,3,66206,0.0091
19,1784621750795843100,b,4,66205.01,0.02
19,1784621750795843100,b,5,66205,0.01
19,1784621750795843100,b,6,66204.95,1.7e-05
19,1784621750795843100,b,7,66204.92,0.01510462
19,1784621750795843100,b,8,66204.81,0.02
19,1784621750795843100,b,9,66204.8,0.00153174
19,1784621750795843100,b,10,66204.02,0.02
19,1784621750795843100,b,11,66204.01,0.02
19,1784621750795843100,a,0,66209.9,0.20916902
19,1784621750795843100,a,1,66210,0.0091
19,1784621750795843100,a,2,66211.19,0.14914969
19,1784621750795843100,a,3,66211.2,0.09070899
19,1784621750795843100,a,4,66211.21,0.12082546
19,1784621750795843100,a,5,66211.56,0.00528621
19,1784621750795843100,a,6,66212,0.0091
19,1784621750795843100,a,7,66212.3,0.00120811
19,1784621750795843100,a,8,66212.38,0.0227032
19,1784621750795843100,a,9,66213.33,0.09146967
19,1784621750795843100,a,10,66213.34,0.09070899
19,1784621750795843100,a,11,66213.39,0.03769888
20,1784621751736492000,b,0,66208.66,1.7e-05
20,1784621751736492000,b,1,66206,0.01433886
20,1784621751736492000,b,2,66205,0.01
20,1784621751736492000,b,3,66204.95,1.7e-05
20,1784621751736492000,b,4,66204.92,0.01510462
20,1784621751736492000,b,5,66204.8,0.00153174
20,1784621751736492000,b,6,66204,0.0091
20,1784621751736492000,b,7,66203.27,0.0075525
20,1784621751736492000,b,8,66203.18,0.001636
20,1784621751736492000,b,9,66202.04,0.00755264
20,1784621751736492000,b,10,66201.6,0.00153174
20,1784621751736492000,b,11,66201.24,1.7e-05
20,1784621751736492000,a,0,66208.67,0.33751669
20,1784621751736492000,a,1,66209.89,0.2705517
20,1784621751736492000,a,2,66209.9,0.05797427
20,1784621751736492000,a,3,66210,0.0091
20,1784621751736492000,a,4,66210.52,0.03769888
20,1784621751736492000,a,5,66211.2,0.09070899
20,1784621751736492000,a,6,66211.21,0.12082546
20,1784621751736492000,a,7,66211.56,0.00528621
20,1784621751736492000,a,8,66212,0.0091
20,1784621751736492000,a,9,66212.38,0.0227032
20,1784621751736492000,a,10,66212.45,0.001636
20,1784621751736492000,a,11,66213.33,0.20975455
21,1784621752748404800,b,0,66205.09,0.03430278
21,1784621752748404800,b,1,66205.01,0.03430281
21,1784621752748404800,b,2,66204.95,0.03431981
21,1784621752748404800,b,3,66203.69,0.00755245
21,1784621752748404800,b,4,66202.04,0.00755264
21,1784621752748404800,b,5,66202,0.0091
21,1784621752748404800,b,6,66201.6,0.00153174
21,1784621752748404800,b,7,66201.51,0.001607
21,1784621752748404800,b,8,66201.24,1.7e-05
21,1784621752748404800,b,9,66201.04,0.09070899
21,1784621752748404800,b,10,66201.03,0.00755275
21,1784621752748404800,b,11,66201,1
21,1784621752748404800,a,0,66205.1,0.19653042
21,1784621752748404800,a,1,66206,0.34018204
21,1784621752748404800,a,2,66206.01,0.09070899
21,1784621752748404800,a,3,66206.23,0.0227032
21,1784621752748404800,a,4,66206.76,0.0052866
21,1784621752748404800,a,5,66207.97,0.15103921
21,1784621752748404800,a,6,66208,0.0091
21,1784621752748404800,a,7,66208.67,0.19539609
21,1784621752748404800,a,8,66208.99,0.00660825
21,1784621752748404800,a,9,66210,0.01244413
21,1784621752748404800,a,10,66210.51,0.23540168
21,1784621752748404800,a,11,66210.52,0.03769888
22,1784621753445993000,b,0,66207.13,0.03420281
22,1784621753445993000,b,1,66206.12,0.03420281
22,1784621753445993000,b,2,66206.1,0.03430281
22,1784621753445993000,b,3,66205.11,0.03430281
22,1784621753445993000,b,4,66205.1,0.03430281
22,1784621753445993000,b,5,66205.09,0.03447874
22,1784621753445993000,b,6,66205.01,0.03430281
22,1784621753445993000,b,7,66204.95,0.04830482
22,1784621753445993000,b,8,66202,0.0091
22,1784621753445993000,b,9,66201.6,0.00153174
22,1784621753445993000,b,10,66201.24,1.7e-05
22,1784621753445993000,b,11,66201.05,0.18192555
22,1784621753445993000,a,0,66207.14,0.54855268
22,1784621753445993000,a,1,66207.97,0.18242927
22,1784621753445993000,a,2,66207.98,0.04165083
22,1784621753445993000,a,3,66208,0.09980899
22,1784621753445993000,a,4,66209.3,0.0377067
22,1784621753445993000,a,5,66209.64,0.00528648
22,1784621753445993000,a,6,66209.98,0.15739609
22,1784621753445993000,a,7,66209.99,0.09070899
22,1784621753445993000,a,8,66210,0.0091
22,1784621753445993000,a,9,66210.4,0.0227032
22,1784621753445993000,a,10,66210.91,0.15103252
22,1784621753445993000,a,11,66211.87,0.0066081
23,1784621754155627600,b,0,66207.13,0.12913539
23,1784621754155627600,b,1,66206.12,0.03420281
23,1784621754155627600,b,2,66206.1,0.03430281
23,1784621754155627600,b,3,66206,0.0091
23,1784621754155627600,b,4,66205.18,0.13611538
23,1784621754155627600,b,5,66205.11,0.03430281
23,1784621754155627600,b,6,66205.1,0.03430281
23,1784621754155627600,b,7,66205.09,0.03447874
23,1784621754155627600,b,8,66205.01,0.03430281
23,1784621754155627600,b,9,66204.95,0.04830482
23,1784621754155627600,b,10,66204,0.0091
23,1784621754155627600,b,11,66203.06,0.09070899
23,1784621754155627600,a,0,66207.14,0.0578837
